"filename", "language", "JavaScript", "CSS", "XML", "comment", "blank", "total"
"d:\questum-frontend-dev\src\App.css", "CSS", 0, 33, 0, 0, 6, 39
"d:\questum-frontend-dev\src\App.js", "JavaScript", 83, 0, 0, 25, 11, 119
"d:\questum-frontend-dev\src\App.test.js", "JavaScript", 8, 0, 0, 0, 2, 10
"d:\questum-frontend-dev\src\Cookie.js", "JavaScript", 15, 0, 0, 0, 3, 18
"d:\questum-frontend-dev\src\SignUp.js", "JavaScript", 246, 0, 0, 9, 28, 283
"d:\questum-frontend-dev\src\components\Help\eula.js", "JavaScript", 87, 0, 0, 0, 35, 122
"d:\questum-frontend-dev\src\components\Help\help.js", "JavaScript", 97, 0, 0, 2, 8, 107
"d:\questum-frontend-dev\src\components\Help\privacy.js", "JavaScript", 58, 0, 0, 0, 32, 90
"d:\questum-frontend-dev\src\components\MainComponents\AppBarAdmin.js", "JavaScript", 214, 0, 0, 0, 18, 232
"d:\questum-frontend-dev\src\components\MainComponents\DonateButton.js", "JavaScript", 30, 0, 0, 0, 4, 34
"d:\questum-frontend-dev\src\components\MainComponents\NoMatch.js", "JavaScript", 34, 0, 0, 0, 4, 38
"d:\questum-frontend-dev\src\components\MainComponents\ResponsiveDrawer.js", "JavaScript", 304, 0, 0, 15, 32, 351
"d:\questum-frontend-dev\src\components\MyGroups(MainPage)\GroupsCard\DialogChangeName.js", "JavaScript", 91, 0, 0, 0, 17, 108
"d:\questum-frontend-dev\src\components\MyGroups(MainPage)\GroupsCard\addGroup.js", "JavaScript", 82, 0, 0, 0, 14, 96
"d:\questum-frontend-dev\src\components\MyGroups(MainPage)\GroupsCard\card.js", "JavaScript", 147, 0, 0, 5, 9, 161
"d:\questum-frontend-dev\src\components\MyGroups(MainPage)\GroupsCard\groupPaper.js", "JavaScript", 161, 0, 0, 9, 14, 184
"d:\questum-frontend-dev\src\components\MyGroups(MainPage)\GroupsCard\refreshButton.js", "JavaScript", 0, 0, 0, 0, 1, 1
"d:\questum-frontend-dev\src\components\MyGroups(MainPage)\Tabs\GroupMembers\addMember.js", "JavaScript", 95, 0, 0, 0, 16, 111
"d:\questum-frontend-dev\src\components\MyGroups(MainPage)\Tabs\GroupMembers\deleteMember.js", "JavaScript", 72, 0, 0, 3, 15, 90
"d:\questum-frontend-dev\src\components\MyGroups(MainPage)\Tabs\GroupMembers\member.js", "JavaScript", 155, 0, 0, 7, 14, 176
"d:\questum-frontend-dev\src\components\MyGroups(MainPage)\Tabs\Quests\Subquests\addSubQuest.js", "JavaScript", 133, 0, 0, 22, 22, 177
"d:\questum-frontend-dev\src\components\MyGroups(MainPage)\Tabs\Quests\Subquests\deleteSubquest.js", "JavaScript", 65, 0, 0, 0, 11, 76
"d:\questum-frontend-dev\src\components\MyGroups(MainPage)\Tabs\Quests\Subquests\editSubquest.js", "JavaScript", 109, 0, 0, 18, 21, 148
"d:\questum-frontend-dev\src\components\MyGroups(MainPage)\Tabs\Quests\Subquests\varificationTypes.js", "JavaScript", 40, 0, 0, 0, 5, 45
"d:\questum-frontend-dev\src\components\MyGroups(MainPage)\Tabs\Quests\addQuest.js", "JavaScript", 69, 0, 0, 0, 13, 82
"d:\questum-frontend-dev\src\components\MyGroups(MainPage)\Tabs\Quests\deleteQuest.js", "JavaScript", 65, 0, 0, 0, 11, 76
"d:\questum-frontend-dev\src\components\MyGroups(MainPage)\Tabs\Quests\editQuest.js", "JavaScript", 79, 0, 0, 0, 15, 94
"d:\questum-frontend-dev\src\components\MyGroups(MainPage)\Tabs\Quests\quests.js", "JavaScript", 166, 0, 0, 8, 19, 193
"d:\questum-frontend-dev\src\components\MyGroups(MainPage)\Tabs\leadboardMain.js", "JavaScript", 399, 0, 0, 15, 40, 454
"d:\questum-frontend-dev\src\components\MyGroups(MainPage)\mainPageAdmin.js", "JavaScript", 208, 0, 0, 43, 32, 283
"d:\questum-frontend-dev\src\components\PendingQuests\answerPhoto.js", "JavaScript", 71, 0, 0, 2, 13, 86
"d:\questum-frontend-dev\src\components\PendingQuests\pendingQuestCard.js", "JavaScript", 174, 0, 0, 3, 24, 201
"d:\questum-frontend-dev\src\components\PendingQuests\pendingQuests.js", "JavaScript", 177, 0, 0, 4, 16, 197
"d:\questum-frontend-dev\src\components\Settings\passwordConfirm.js", "JavaScript", 177, 0, 0, 3, 21, 201
"d:\questum-frontend-dev\src\components\Settings\settings.js", "JavaScript", 320, 0, 0, 119, 48, 487
"d:\questum-frontend-dev\src\components\User\AppBarUser.js", "JavaScript", 184, 0, 0, 0, 12, 196
"d:\questum-frontend-dev\src\components\User\DrawerUser.js", "JavaScript", 267, 0, 0, 12, 28, 307
"d:\questum-frontend-dev\src\components\User\MainPageUser.js", "JavaScript", 168, 0, 0, 5, 24, 197
"d:\questum-frontend-dev\src\components\User\Me.js", "JavaScript", 219, 0, 0, 72, 34, 325
"d:\questum-frontend-dev\src\components\User\Quests\Subquests\submitAnswer.js", "JavaScript", 117, 0, 0, 28, 16, 161
"d:\questum-frontend-dev\src\components\User\Quests\Subquests\submitAnswerPhoto.js", "JavaScript", 61, 0, 0, 8, 14, 83
"d:\questum-frontend-dev\src\components\User\Quests\Subquests\subquestStepper.js", "JavaScript", 198, 0, 0, 5, 35, 238
"d:\questum-frontend-dev\src\components\User\Quests\Subquests\subquestsPage.js", "JavaScript", 119, 0, 0, 3, 12, 134
"d:\questum-frontend-dev\src\components\User\Quests\Subquests\subquestsUser.js", "JavaScript", 176, 0, 0, 3, 24, 203
"d:\questum-frontend-dev\src\components\User\Quests\questCard.js", "JavaScript", 102, 0, 0, 0, 22, 124
"d:\questum-frontend-dev\src\components\User\Quests\questsUser.js", "JavaScript", 120, 0, 0, 2, 27, 149
"d:\questum-frontend-dev\src\components\User\ResDrawer.js", "JavaScript", 257, 0, 0, 15, 26, 298
"d:\questum-frontend-dev\src\components\User\Settings\settingsUser.js", "JavaScript", 320, 0, 0, 120, 49, 489
"d:\questum-frontend-dev\src\components\User\helpUser.js", "JavaScript", 98, 0, 0, 2, 8, 108
"d:\questum-frontend-dev\src\components\authorization.js", "JavaScript", 128, 0, 0, 16, 24, 168
"d:\questum-frontend-dev\src\components\consts.js", "JavaScript", 1, 0, 0, 2, 1, 4
"d:\questum-frontend-dev\src\components\groupID.js", "JavaScript", 68, 0, 0, 2, 5, 75
"d:\questum-frontend-dev\src\index.css", "CSS", 0, 12, 0, 0, 2, 14
"d:\questum-frontend-dev\src\index.js", "JavaScript", 12, 0, 0, 3, 3, 18
"d:\questum-frontend-dev\src\loginPage.js", "JavaScript", 211, 0, 0, 14, 15, 240
"d:\questum-frontend-dev\src\loginUser.js", "JavaScript", 227, 0, 0, 3, 35, 265
"d:\questum-frontend-dev\src\logo.svg", "XML", 0, 0, 7, 0, 1, 8
"d:\questum-frontend-dev\src\serviceWorker.js", "JavaScript", 94, 0, 0, 31, 13, 138
"d:\questum-frontend-dev\src\setupTests.js", "JavaScript", 1, 0, 0, 4, 1, 6
"Total", "-", 7379, 45, 7, 662, 1025, 9118
